,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,0,1,691,Sales,8,3,48,3,2,Sales Executive,2,No,11,3,1,10,2,3,9,7,4,2
28,0,1,477,Research & Development,7,1,42,2,3,Healthcare Representative,4,No,14,3,1,24,4,3,22,6,5,17
29,0,1,705,Sales,2,2,83,3,5,Manager,1,No,12,3,0,22,2,2,2,2,2,1
30,0,1,924,Research & Development,2,3,78,3,1,Laboratory Technician,4,No,11,3,0,7,3,3,1,1,0,0
31,0,1,1459,Research & Development,10,4,41,3,2,Healthcare Representative,4,Yes,13,3,0,9,5,4,4,2,1,3
32,0,1,125,Research & Development,9,4,83,2,1,Laboratory Technician,3,No,13,3,0,10,5,3,10,0,1,8
33,1,3,203,Research & Development,2,1,84,3,4,Healthcare Representative,4,No,11,1,3,21,4,1,18,7,11,0
34,1,1,621,Research & Development,15,1,73,3,3,Healthcare Representative,1,No,11,1,1,10,2,1,10,7,0,0
35,0,1,1273,Research & Development,2,4,72,4,1,Research Scientist,3,No,12,3,2,6,3,2,5,3,1,4
36,1,3,337,Research & Development,14,3,84,3,3,Healthcare Representative,1,Yes,12,1,0,9,1,2,8,7,7,0
37,0,1,890,Sales,2,4,97,3,1,Sales Representative,4,No,13,3,0,2,3,3,2,2,2,2
38,0,1,852,Research & Development,5,2,82,2,1,Research Scientist,1,Yes,14,3,1,6,3,4,1,1,0,0
39,0,3,1141,Sales,1,3,42,4,2,Sales Executive,1,No,19,3,2,10,3,3,5,3,1,3
40,0,1,464,Research & Development,4,3,75,3,1,Laboratory Technician,4,No,12,3,1,1,3,3,1,0,0,0
41,0,1,1240,Research & Development,2,4,33,3,1,Laboratory Technician,1,No,13,3,1,1,6,3,1,0,0,0
42,1,3,988,Human Resources,23,2,43,3,3,Human Resources,1,Yes,15,1,3,11,2,1,3,2,0,0
43,0,3,994,Sales,8,4,37,3,3,Sales Executive,3,No,15,3,0,9,0,3,9,8,1,7
44,0,3,721,Research & Development,1,3,58,3,2,Laboratory Technician,4,No,23,4,0,12,2,3,12,8,3,7
45,1,1,1376,Human Resources,1,2,91,2,3,Human Resources,1,No,14,1,1,24,1,1,20,6,3,1
46,0,0,1065,Sales,23,2,72,3,2,Sales Executive,3,No,20,4,0,10,2,3,9,5,8,7
47,0,1,408,Research & Development,19,2,73,3,1,Research Scientist,2,No,21,4,0,8,1,3,1,0,0,0
48,0,3,1211,Sales,5,1,98,3,2,Sales Executive,4,Yes,21,4,0,14,4,3,9,6,0,8
49,0,1,1229,Research & Development,8,4,36,4,1,Laboratory Technician,4,No,19,3,0,1,2,3,1,0,0,1
50,1,1,359,Human Resources,18,4,89,4,1,Human Resources,1,No,17,1,0,2,4,1,1,0,0,0
51,1,1,350,Human Resources,13,1,56,2,1,Human Resources,1,Yes,15,2,3,4,3,1,2,2,2,0
52,0,1,1488,Sales,1,2,75,3,2,Sales Executive,1,Yes,21,4,1,9,2,2,4,3,1,3
53,0,0,1097,Research & Development,11,3,79,2,3,Healthcare Representative,1,Yes,13,3,1,10,3,3,4,0,2,3
54,0,1,1443,Sales,23,3,47,2,2,Sales Executive,4,Yes,19,3,1,5,2,2,2,2,0,0
55,0,3,515,Research & Development,1,1,98,3,3,Research Director,4,Yes,12,3,0,15,1,3,15,14,8,12
56,0,3,853,Sales,18,2,71,3,3,Sales Executive,1,No,22,4,1,9,3,2,9,8,1,8
57,0,1,1142,Research & Development,23,3,30,3,1,Laboratory Technician,1,Yes,15,3,1,4,3,3,2,2,2,2
58,0,1,655,Research & Development,7,4,48,3,2,Laboratory Technician,4,No,22,4,1,10,3,2,7,7,1,7
59,0,1,1115,Research & Development,1,1,51,2,2,Manufacturing Director,3,No,18,3,1,7,2,4,7,5,0,7
60,0,1,427,Research & Development,1,1,33,3,2,Manufacturing Director,4,Yes,22,4,1,9,3,3,9,8,7,8
61,0,3,653,Research & Development,29,4,50,3,2,Laboratory Technician,4,No,11,3,0,10,2,3,10,3,9,9
62,0,1,989,Research & Development,7,2,43,2,5,Research Director,3,Yes,12,3,1,29,2,2,27,3,13,8
63,0,1,1435,Sales,25,1,99,3,3,Sales Executive,1,No,11,3,0,28,3,2,21,16,7,9
64,0,1,1223,Research & Development,8,3,59,3,3,Healthcare Representative,3,No,13,3,3,17,2,3,17,14,12,8
65,0,1,836,Research & Development,8,4,33,3,4,Manager,3,Yes,14,3,3,21,2,3,5,0,0,2
66,0,3,1195,Research & Development,11,2,95,2,2,Manufacturing Director,2,No,13,3,0,6,3,3,6,5,0,3
67,0,1,1339,Research & Development,7,2,59,3,3,Research Scientist,1,No,17,3,1,25,2,3,1,0,0,0
68,0,3,664,Research & Development,1,2,79,3,1,Research Scientist,1,No,13,3,1,5,2,2,3,2,1,2
69,1,1,807,Human Resources,6,3,63,3,1,Human Resources,1,Yes,22,1,0,7,3,1,3,2,0,0
70,0,3,1225,Sales,1,1,57,2,2,Sales Executive,3,No,11,3,0,20,2,2,4,3,1,3
71,0,1,1328,Research & Development,2,3,76,3,1,Research Scientist,2,No,23,4,1,6,3,3,5,4,0,4
72,0,1,1082,Research & Development,1,3,87,3,1,Research Scientist,2,No,17,3,0,1,4,3,1,1,1,0
73,0,1,548,Research & Development,1,2,66,3,2,Research Scientist,2,No,17,3,2,10,3,3,10,4,0,9
74,0,1,132,Research & Development,6,2,55,4,1,Laboratory Technician,4,No,12,3,0,5,3,3,1,0,0,0
75,0,1,746,Research & Development,8,3,61,3,2,Manufacturing Director,4,No,23,4,0,11,2,3,11,7,1,8
76,0,1,776,Sales,1,3,32,2,2,Sales Executive,1,No,14,3,0,16,2,3,15,13,2,8
77,0,1,193,Research & Development,6,4,52,3,3,Research Director,1,Yes,14,3,0,17,3,4,0,0,0,0
78,0,1,397,Research & Development,7,1,30,3,3,Research Director,3,No,13,3,0,16,3,4,5,2,0,2
79,0,1,945,Human Resources,5,2,80,3,2,Human Resources,2,Yes,22,4,1,16,2,3,4,2,0,2
80,0,1,852,Research & Development,1,4,55,2,2,Laboratory Technician,4,Yes,12,3,2,10,1,2,10,8,3,0
81,0,1,1214,Research & Development,1,2,30,2,1,Research Scientist,3,No,18,3,0,6,3,3,6,4,0,4
82,0,1,111,Sales,1,1,70,3,3,Sales Executive,4,No,14,3,1,24,4,3,1,0,1,0
83,0,0,573,Research & Development,6,2,79,1,2,Research Scientist,4,Yes,12,3,3,17,3,3,13,11,1,9
84,0,1,1153,Research & Development,1,1,94,3,2,Manufacturing Director,2,No,15,3,0,5,2,3,5,2,1,3
85,0,1,1400,Research & Development,7,4,49,1,3,Manufacturing Director,4,No,11,3,0,37,3,2,6,4,0,2
86,0,1,541,Sales,2,3,62,3,1,Sales Representative,1,No,13,3,1,3,3,3,0,0,0,0
87,0,1,432,Research & Development,9,4,96,3,1,Laboratory Technician,4,No,23,4,2,10,4,3,4,2,0,3
88,0,1,288,Research & Development,2,3,99,2,2,Healthcare Representative,4,No,19,3,3,11,3,3,11,10,10,8
89,1,1,920,Human Resources,20,4,69,3,1,Human Resources,2,Yes,11,1,0,6,3,1,5,1,1,0
90,0,3,530,Research & Development,1,3,78,2,4,Healthcare Representative,2,No,22,4,1,22,3,2,22,3,11,11
91,0,1,632,Sales,21,3,71,3,2,Sales Executive,4,Yes,22,4,0,11,2,1,10,7,1,0
92,0,1,1334,Sales,4,3,63,2,2,Sales Executive,2,Yes,12,3,3,11,4,2,11,8,2,7
93,0,3,638,Research & Development,1,3,40,2,3,Healthcare Representative,1,Yes,13,3,1,21,5,2,10,9,9,5
94,0,1,1093,Sales,6,2,87,3,2,Sales Executive,3,No,16,3,0,12,0,3,11,8,5,7
95,0,1,1217,Research & Development,2,1,60,3,3,Research Director,3,No,12,3,1,16,5,1,4,3,0,3
96,0,1,1353,Sales,3,1,33,3,2,Sales Executive,3,No,21,4,1,4,2,2,3,2,0,2
97,0,0,120,Sales,4,2,43,3,2,Sales Executive,3,No,15,3,0,5,3,4,5,4,0,4
98,0,1,682,Sales,10,4,37,3,4,Sales Executive,3,No,13,3,0,38,1,2,37,10,1,8
99,0,0,489,Research & Development,23,2,67,3,2,Laboratory Technician,2,No,12,3,1,17,3,4,3,2,1,2
100,1,3,1337,Human Resources,22,1,58,2,1,Human Resources,2,No,12,1,0,1,2,1,1,0,0,1
101,0,1,827,Research & Development,1,4,71,3,1,Research Scientist,1,No,13,3,0,1,2,3,1,0,0,0
102,1,3,426,Human Resources,17,2,58,3,1,Human Resources,1,Yes,11,1,1,8,2,2,7,7,1,0
103,0,1,665,Research & Development,6,1,41,3,2,Research Scientist,3,No,14,3,0,16,3,3,16,13,2,10
104,0,0,1040,Research & Development,2,3,100,2,2,Healthcare Representative,4,No,14,3,1,17,2,4,1,0,0,0
105,0,0,1420,Human Resources,2,3,32,2,5,Manager,4,No,21,4,1,30,3,3,3,2,2,2
106,0,3,1115,Research & Development,1,1,73,3,5,Research Director,2,Yes,19,3,0,28,1,2,8,3,0,7
107,1,1,1107,Human Resources,9,1,52,3,1,Human Resources,1,No,15,2,0,2,0,1,2,2,2,0
108,0,1,1280,Research & Development,7,4,64,2,1,Research Scientist,4,No,11,3,2,2,2,3,2,2,2,1
109,0,1,534,Research & Development,15,2,59,3,1,Laboratory Technician,4,No,15,3,0,1,5,3,0,0,0,0
110,0,3,1456,Research & Development,1,1,30,2,3,Healthcare Representative,1,No,20,4,0,23,1,2,13,12,12,8
111,1,1,240,Human Resources,22,4,58,1,1,Human Resources,1,No,11,1,1,1,2,1,1,0,0,0
112,0,0,142,Human Resources,26,4,30,4,4,Manager,4,Yes,12,3,0,23,3,3,5,3,4,4
113,0,1,1127,Research & Development,18,2,52,3,1,Laboratory Technician,3,No,12,3,1,6,2,3,5,3,1,2
114,0,1,1031,Research & Development,6,3,45,2,2,Research Scientist,2,No,15,3,1,12,3,3,1,0,0,0
115,0,1,1189,Sales,3,3,87,3,3,Sales Executive,4,No,12,3,0,12,3,3,5,3,1,3
116,0,1,1354,Research & Development,5,3,45,2,3,Manager,1,No,12,3,0,14,6,3,11,10,5,8
117,0,3,1467,Sales,11,2,92,3,3,Sales Executive,4,No,14,3,1,10,6,3,9,7,2,8
118,0,1,922,Research & Development,3,1,39,3,1,Laboratory Technician,4,No,22,4,1,7,2,3,1,0,0,0
119,0,3,394,Sales,26,3,92,3,4,Manager,4,Yes,12,3,2,25,3,4,25,12,4,12
120,0,3,1312,Research & Development,23,1,96,1,1,Research Scientist,3,No,25,4,3,10,2,2,10,7,0,9
121,0,0,750,Sales,22,3,95,3,2,Sales Executive,2,No,13,3,1,8,2,4,7,7,0,7
122,1,1,489,Human Resources,2,1,52,2,1,Human Resources,1,No,12,1,0,1,3,1,1,0,0,0
123,0,1,684,Research & Development,6,1,51,3,5,Research Director,3,No,13,3,0,23,5,3,20,18,15,15
124,1,3,600,Human Resources,8,3,66,2,1,Human Resources,1,No,11,1,1,6,0,1,4,2,1,0
125,0,1,841,Research & Development,6,3,46,2,1,Research Scientist,2,No,19,3,0,5,3,2,5,4,4,3
126,1,1,318,Research & Development,8,2,77,1,1,Laboratory Technician,1,Yes,11,1,0,7,4,1,7,7,0,0
127,1,1,688,Research & Development,3,1,91,3,1,Laboratory Technician,1,No,13,1,1,6,5,1,2,2,0,0
128,0,1,594,Research & Development,2,3,100,3,1,Laboratory Technician,4,No,14,3,1,3,2,3,2,1,2,1
129,0,1,470,Research & Development,20,3,96,3,2,Manufacturing Director,1,No,14,3,0,16,2,2,15,11,5,11
130,0,3,957,Research & Development,28,2,72,4,1,Research Scientist,3,No,12,3,0,18,2,3,3,2,1,2
131,0,3,809,Sales,12,3,77,3,3,Sales Executive,4,No,11,3,0,16,3,3,2,2,2,1
132,1,1,805,Research & Development,1,2,36,2,1,Laboratory Technician,1,Yes,11,2,1,1,1,2,1,0,0,0
133,0,1,802,Sales,9,3,96,3,3,Sales Executive,3,Yes,13,3,1,12,2,3,9,7,0,7
134,0,1,1355,Human Resources,25,3,61,3,1,Human Resources,3,No,23,4,1,8,3,3,8,7,5,7
135,0,1,216,Research & Development,6,2,84,3,2,Manufacturing Director,2,No,20,4,2,7,0,3,3,2,0,1
136,1,1,129,Research & Development,4,1,84,3,1,Laboratory Technician,1,No,19,1,0,1,2,1,1,0,0,0
137,0,1,1329,Sales,4,4,47,2,2,Sales Executive,3,No,14,3,1,17,1,4,15,11,5,9
138,0,1,959,Sales,28,1,41,2,2,Sales Executive,3,No,18,3,0,6,3,3,2,2,2,2
139,0,1,1240,Human Resources,9,3,48,3,2,Human Resources,4,Yes,19,3,0,12,2,1,11,9,4,7
140,1,1,885,Research & Development,16,3,43,4,1,Laboratory Technician,1,No,16,1,0,18,1,1,17,13,15,2
141,0,1,1316,Research & Development,29,3,83,3,1,Research Scientist,4,No,13,3,0,9,2,2,6,5,0,3
142,0,1,364,Research & Development,3,4,32,3,2,Research Scientist,3,Yes,20,4,0,19,2,3,3,2,2,2
143,0,1,438,Research & Development,18,1,75,3,1,Research Scientist,3,No,14,3,0,5,4,2,5,4,0,4
144,0,3,689,Sales,9,4,35,1,2,Sales Executive,4,No,17,3,3,9,2,4,8,7,0,7
145,0,1,201,Research & Development,5,4,84,3,1,Research Scientist,1,No,14,3,1,8,3,3,3,2,2,2
146,0,1,1427,Research & Development,2,2,35,2,1,Laboratory Technician,4,No,13,3,0,6,3,3,5,3,1,2
147,0,3,857,Research & Development,10,4,91,2,4,Manager,1,No,13,3,1,21,2,2,7,6,7,7
148,0,1,933,Research & Development,9,3,94,3,1,Laboratory Technician,1,No,21,4,1,7,2,3,5,0,1,4
149,0,1,1181,Research & Development,3,2,79,3,1,Laboratory Technician,2,No,14,3,0,1,3,3,1,0,0,0
150,0,3,1395,Research & Development,26,2,54,3,2,Research Scientist,2,No,11,3,1,20,2,3,20,7,2,13
151,0,1,662,Sales,1,3,94,3,3,Sales Executive,2,No,13,3,2,10,3,3,10,8,0,6
152,0,1,1436,Sales,6,2,34,3,2,Sales Representative,3,Yes,20,4,1,13,3,1,7,7,4,5
153,0,1,194,Research & Development,9,2,60,3,2,Laboratory Technician,2,No,18,3,1,20,2,1,17,9,0,15
154,0,3,967,Sales,8,2,43,3,3,Sales Executive,4,No,14,3,0,9,2,3,9,8,3,7
155,0,0,1496,Research & Development,1,4,41,3,2,Manufacturing Director,3,No,13,3,1,10,1,3,10,7,0,9
156,0,1,1169,Research & Development,7,2,34,2,2,Manufacturing Director,3,No,17,3,0,10,2,3,1,0,0,0
157,0,1,1145,Research & Development,9,2,75,2,1,Research Scientist,2,Yes,20,4,1,9,3,2,1,0,0,0
158,0,1,630,Sales,4,3,67,2,3,Sales Executive,4,No,11,3,1,15,2,2,12,11,2,11
159,0,3,303,Sales,2,3,75,3,1,Sales Representative,3,No,18,3,1,6,3,3,4,3,1,2
160,0,1,1256,Research & Development,19,3,80,3,1,Research Scientist,4,No,24,4,2,2,6,3,2,2,2,2
161,0,0,691,Research & Development,9,4,57,3,1,Research Scientist,2,No,18,3,1,6,1,1,2,2,2,2
162,0,1,440,Research & Development,21,3,42,3,1,Research Scientist,4,No,11,3,1,5,2,1,5,2,0,2
163,0,1,334,Research & Development,24,3,83,4,3,Healthcare Representative,4,Yes,16,3,1,12,2,1,5,3,1,4
164,0,0,1450,Research & Development,3,3,79,2,1,Research Scientist,3,Yes,15,3,1,1,2,2,1,1,0,1
165,0,1,1452,Research & Development,11,3,53,3,5,Manager,2,No,15,3,0,21,5,3,5,4,4,4
166,0,1,465,Research & Development,14,1,56,3,1,Research Scientist,3,No,12,3,1,13,2,3,9,8,1,8
167,0,1,1339,Sales,5,2,41,3,3,Sales Executive,4,No,12,3,1,12,2,3,10,9,7,4
168,0,1,702,Sales,1,1,59,2,2,Sales Executive,4,No,22,4,0,12,2,4,8,3,0,7
169,0,1,120,Research & Development,6,3,43,3,1,Research Scientist,3,No,20,4,0,8,2,3,5,4,1,4
170,0,1,1157,Research & Development,17,3,51,3,1,Research Scientist,2,Yes,16,3,1,6,3,2,5,2,1,1
171,1,1,1334,Research & Development,10,3,36,2,1,Laboratory Technician,1,No,13,1,0,1,6,1,1,0,1,0
172,0,3,1480,Research & Development,3,4,30,3,1,Laboratory Technician,2,No,12,3,0,13,3,2,8,7,7,2
173,0,0,111,Research & Development,9,3,66,3,2,Laboratory Technician,1,No,11,3,2,12,4,3,12,9,6,10
174,0,1,1268,Sales,4,3,30,3,2,Sales Executive,1,Yes,11,3,1,9,3,4,5,4,0,3
175,0,1,713,Research & Development,8,3,67,3,1,Research Scientist,1,Yes,18,3,1,19,3,3,2,2,2,2
176,0,1,134,Research & Development,2,3,90,3,1,Research Scientist,4,No,14,3,0,4,2,4,3,1,0,2
177,1,1,935,Research & Development,3,1,89,3,1,Laboratory Technician,1,No,12,1,0,10,4,1,3,2,1,0
178,0,1,526,Sales,1,2,92,3,3,Sales Executive,1,No,25,4,3,24,2,3,24,13,15,7
179,0,1,1380,Research & Development,9,3,75,3,1,Laboratory Technician,4,No,12,3,0,2,3,3,2,2,2,1
180,0,1,140,Research & Development,12,3,95,3,1,Research Scientist,4,Yes,23,4,1,7,0,3,4,2,0,2
181,0,1,629,Research & Development,27,4,95,3,1,Research Scientist,2,No,15,3,0,9,3,3,3,2,1,2
182,1,3,381,Research & Development,9,2,89,3,1,Laboratory Technician,1,Yes,11,1,0,4,2,1,0,0,0,0
183,0,1,328,Research & Development,1,3,86,2,1,Laboratory Technician,3,No,15,3,1,5,2,2,3,2,0,2
184,0,1,1084,Research & Development,13,4,57,4,2,Manufacturing Director,1,No,11,3,2,5,3,3,4,2,1,3
185,0,1,931,Research & Development,14,4,72,3,1,Research Scientist,2,No,13,3,1,8,5,3,8,7,1,6
186,0,1,989,Research & Development,4,4,46,3,5,Manager,3,No,14,3,1,21,2,3,20,8,9,9
187,0,1,692,Research & Development,14,3,61,4,5,Research Director,2,No,11,3,0,36,3,3,24,15,2,15
188,0,3,1069,Research & Development,2,4,45,2,2,Manufacturing Director,3,No,17,3,0,10,2,2,10,9,1,9
189,0,1,313,Research & Development,3,4,98,3,4,Healthcare Representative,2,No,18,3,0,21,6,3,7,7,1,0
190,0,1,699,Research & Development,1,3,65,2,5,Manager,3,No,14,3,1,34,5,3,33,18,11,9
191,0,1,894,Research & Development,9,4,99,3,1,Research Scientist,2,No,16,3,0,7,2,2,7,7,0,3
192,1,3,289,Research & Development,2,3,38,2,1,Laboratory Technician,1,No,11,1,0,8,2,1,0,0,0,0
193,0,0,1344,Research & Development,7,4,37,4,1,Research Scientist,4,No,14,3,3,7,3,4,5,4,2,2
194,0,0,1195,Research & Development,2,1,65,2,4,Manager,4,No,23,4,1,22,1,3,20,8,11,8
195,0,1,290,Research & Development,21,2,65,4,1,Research Scientist,1,Yes,12,3,1,8,3,2,8,7,1,7
196,0,3,138,Research & Development,2,2,37,3,2,Laboratory Technician,2,No,11,3,0,10,5,3,6,2,1,2
197,0,0,926,Research & Development,21,3,36,3,2,Manufacturing Director,3,No,16,3,1,11,5,3,5,3,0,2
198,0,1,1261,Research & Development,2,4,88,3,2,Manufacturing Director,3,No,14,3,0,14,3,3,1,0,0,0
199,0,1,1084,Research & Development,29,4,54,3,2,Manufacturing Director,4,No,18,3,1,9,3,1,7,7,1,7
200,0,3,472,Research & Development,1,3,60,2,2,Manufacturing Director,1,No,19,3,1,6,1,3,2,2,2,0
201,0,0,1002,Research & Development,18,4,92,3,2,Manufacturing Director,4,Yes,15,3,2,7,0,3,7,7,1,7
202,0,3,878,Research & Development,10,4,43,3,1,Research Scientist,3,Yes,17,3,1,5,4,4,5,3,2,0
203,0,1,905,Research & Development,19,3,99,3,2,Laboratory Technician,4,Yes,15,3,1,15,2,4,7,2,3,7
204,1,1,676,Research & Development,9,4,86,3,1,Laboratory Technician,1,No,14,2,0,15,3,1,5,4,1,0
205,1,1,104,Research & Development,2,1,69,3,1,Laboratory Technician,1,Yes,12,1,1,1,2,2,1,0,0,0
206,0,1,1136,Research & Development,5,4,60,4,1,Research Scientist,2,Yes,16,3,1,4,2,2,4,2,2,2
207,0,3,635,Research & Development,18,2,73,3,1,Laboratory Technician,4,No,13,3,0,8,2,3,8,1,1,7
208,0,0,1151,Research & Development,9,4,63,2,2,Healthcare Representative,4,No,14,3,1,5,5,1,3,2,0,2
209,0,1,644,Research & Development,1,4,97,3,3,Healthcare Representative,1,No,16,3,1,17,3,3,4,2,0,3
210,1,1,1329,Research & Development,7,1,73,3,1,Laboratory Technician,1,Yes,14,1,0,10,3,1,4,2,0,0
211,0,0,829,Research & Development,1,3,88,2,3,Manufacturing Director,3,No,22,4,0,12,2,3,11,8,5,8
212,0,3,1242,Sales,20,4,90,3,2,Sales Executive,3,No,14,3,0,7,2,3,7,7,0,7
213,0,1,1469,Research & Development,8,2,81,2,3,Research Director,2,No,16,3,2,16,5,1,10,9,4,7
214,1,1,1294,Research & Development,8,3,79,3,1,Laboratory Technician,1,Yes,17,1,0,1,6,1,1,0,0,0
215,0,1,896,Sales,6,4,75,3,3,Manager,4,Yes,18,3,0,16,3,3,1,0,0,0
216,1,3,234,Research & Development,9,4,93,3,2,Laboratory Technician,1,No,17,1,1,11,3,1,7,1,0,0
217,1,1,1033,Research & Development,9,1,41,3,1,Laboratory Technician,1,No,22,1,0,10,2,1,5,4,0,0
218,0,0,1052,Sales,6,4,57,2,3,Sales Executive,4,No,12,3,0,23,2,3,19,7,12,8
219,0,1,1147,Sales,3,4,52,3,2,Sales Executive,1,No,14,3,1,16,4,3,6,2,0,5
220,0,1,1396,Research & Development,5,4,62,3,2,Laboratory Technician,2,No,16,3,0,16,3,4,13,11,3,7
221,0,1,147,Research & Development,4,3,47,2,1,Research Scientist,2,No,21,4,0,7,3,3,3,2,1,1
222,0,3,663,Research & Development,11,2,47,3,3,Research Director,4,Yes,14,3,3,10,1,3,10,8,0,7
223,0,1,119,Sales,3,1,76,3,3,Sales Executive,3,No,12,3,2,17,6,2,16,10,5,13
224,0,0,979,Research & Development,1,3,90,1,2,Manufacturing Director,3,No,12,3,1,6,2,3,5,4,1,4
225,0,1,142,Research & Development,3,3,70,2,1,Research Scientist,4,No,17,3,1,7,6,3,1,0,0,0
226,0,3,319,Sales,4,1,41,3,1,Sales Representative,4,No,17,3,1,13,2,3,9,8,5,8
227,0,3,1413,Sales,1,2,42,3,3,Sales Executive,4,No,14,3,1,11,5,3,11,10,4,1
228,0,3,944,Sales,1,3,92,3,3,Sales Executive,3,No,14,3,0,10,3,4,10,7,0,8
229,1,1,465,Research & Development,2,1,39,3,1,Laboratory Technician,1,No,20,1,0,13,3,1,9,7,1,0
230,0,1,1323,Research & Development,2,3,89,2,1,Laboratory Technician,4,No,15,3,0,6,3,2,2,2,2,2
231,0,1,532,Research & Development,4,3,58,3,5,Manager,4,No,11,3,0,22,3,3,22,17,11,15
232,0,1,818,Human Resources,6,2,52,3,1,Human Resources,3,No,17,3,0,7,2,2,2,2,2,2
233,0,1,854,Sales,1,4,68,3,5,Manager,4,No,11,3,1,32,3,2,7,0,0,6
234,1,1,1243,Research & Development,6,3,63,4,1,Laboratory Technician,1,Yes,21,1,2,1,2,1,0,0,0,0
235,0,1,1034,Sales,16,4,80,3,4,Manager,4,Yes,22,4,1,22,3,3,17,13,1,9
236,1,1,1122,Research & Development,6,4,70,3,1,Laboratory Technician,1,Yes,21,2,0,8,2,2,2,2,2,0
237,0,0,771,Sales,2,1,79,2,5,Manager,3,Yes,18,3,0,33,2,4,33,7,15,12
238,0,1,1401,Sales,4,3,56,3,1,Sales Representative,2,No,11,3,1,6,5,3,4,3,1,2
239,1,3,1475,Research & Development,28,1,97,2,2,Laboratory Technician,1,No,20,1,0,20,2,1,4,3,1,0
240,0,1,1431,Research & Development,1,3,96,3,1,Laboratory Technician,3,No,14,3,3,7,1,3,3,2,1,2
241,0,0,976,Sales,26,3,100,3,2,Sales Executive,4,No,18,3,0,4,2,3,3,2,2,2
242,0,1,1411,Research & Development,19,3,36,3,2,Research Scientist,1,No,16,3,2,17,2,2,1,0,0,0
